TR102218_c3_g3_i1	sp-Q95334-AMPE_PIG	sp-Q95334-AMPE_PIG Glutamyl aminopeptidase OS=Sus scrofa GN=ENPEP PE=1 SV=1
TR117355_c3_g16_i2	sp-Q1EGL1-LGI2_PANTR	sp-Q1EGL1-LGI2_PANTR Leucine-rich repeat LGI family member 2 OS=Pan troglodytes GN=LGI2 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q1EGL1-LGI2_PANTR	sp-Q1EGL1-LGI2_PANTR Leucine-rich repeat LGI family member 2 OS=Pan troglodytes GN=LGI2 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q8N0V4-LGI2_HUMAN	sp-Q8N0V4-LGI2_HUMAN Leucine-rich repeat LGI family member 2 OS=Homo sapiens GN=LGI2 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q8N0V4-LGI2_HUMAN	sp-Q8N0V4-LGI2_HUMAN Leucine-rich repeat LGI family member 2 OS=Homo sapiens GN=LGI2 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q8WXG9-GPR98_HUMAN	sp-Q8WXG9-GPR98_HUMAN G-protein coupled receptor 98 OS=Homo sapiens GN=GPR98 PE=1 SV=2
TR117355_c3_g16_i2	sp-Q8WXG9-GPR98_HUMAN	sp-Q8WXG9-GPR98_HUMAN G-protein coupled receptor 98 OS=Homo sapiens GN=GPR98 PE=1 SV=2
TR117355_c3_g16_i2	sp-Q8WXG9-GPR98_HUMAN	sp-Q8WXG9-GPR98_HUMAN G-protein coupled receptor 98 OS=Homo sapiens GN=GPR98 PE=1 SV=2
TR117355_c3_g16_i2	sp-Q8K4Z0-LGI2_MOUSE	sp-Q8K4Z0-LGI2_MOUSE Leucine-rich repeat LGI family member 2 OS=Mus musculus GN=Lgi2 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q8K4Y5-LGI1_RAT	sp-Q8K4Y5-LGI1_RAT Leucine-rich glioma-inactivated protein 1 OS=Rattus norvegicus GN=Lgi1 PE=1 SV=1
TR117355_c3_g16_i2	sp-Q8K4Y5-LGI1_RAT	sp-Q8K4Y5-LGI1_RAT Leucine-rich glioma-inactivated protein 1 OS=Rattus norvegicus GN=Lgi1 PE=1 SV=1
TR117355_c3_g16_i2	sp-Q9JIA1-LGI1_MOUSE	sp-Q9JIA1-LGI1_MOUSE Leucine-rich glioma-inactivated protein 1 OS=Mus musculus GN=Lgi1 PE=1 SV=1
TR117355_c3_g16_i2	sp-Q5E9T6-LGI1_BOVIN	sp-Q5E9T6-LGI1_BOVIN Leucine-rich glioma-inactivated protein 1 OS=Bos taurus GN=LGI1 PE=2 SV=1
TR117355_c3_g16_i2	sp-Q5E9T6-LGI1_BOVIN	sp-Q5E9T6-LGI1_BOVIN Leucine-rich glioma-inactivated protein 1 OS=Bos taurus GN=LGI1 PE=2 SV=1
TR118772_c0_g2_i4	sp-Q00808-HETE1_PODAS	sp-Q00808-HETE1_PODAS Vegetative incompatibility protein HET-E-1 OS=Podospora anserina GN=HET-E1 PE=3 SV=1
TR118772_c0_g2_i4	sp-Q86Y13-DZIP3_HUMAN	sp-Q86Y13-DZIP3_HUMAN E3 ubiquitin-protein ligase DZIP3 OS=Homo sapiens GN=DZIP3 PE=1 SV=2
TR118772_c0_g2_i4	sp-Q7TPV2-DZIP3_MOUSE	sp-Q7TPV2-DZIP3_MOUSE E3 ubiquitin-protein ligase DZIP3 OS=Mus musculus GN=Dzip3 PE=1 SV=2
TR119201_c4_g4_i2	sp-Q6NRH1-DCAF8_XENLA	sp-Q6NRH1-DCAF8_XENLA DDB1- and CUL4-associated factor 8 OS=Xenopus laevis GN=dcaf8 PE=2 SV=1
TR119201_c4_g4_i2	sp-Q28I90-DCAF8_XENTR	sp-Q28I90-DCAF8_XENTR DDB1- and CUL4-associated factor 8 OS=Xenopus tropicalis GN=dcaf8 PE=2 SV=1
TR119201_c4_g4_i2	sp-Q5TAQ9-DCAF8_HUMAN	sp-Q5TAQ9-DCAF8_HUMAN DDB1- and CUL4-associated factor 8 OS=Homo sapiens GN=DCAF8 PE=1 SV=1
TR119201_c4_g4_i2	sp-Q5U2M6-DCAF8_RAT	sp-Q5U2M6-DCAF8_RAT DDB1- and CUL4-associated factor 8 OS=Rattus norvegicus GN=Dcaf8 PE=1 SV=1
TR119201_c4_g4_i2	sp-Q8N7N5-DCAF8_MOUSE	sp-Q8N7N5-DCAF8_MOUSE DDB1- and CUL4-associated factor 8 OS=Mus musculus GN=Dcaf8 PE=1 SV=1
TR119201_c4_g4_i2	sp-Q5R448-DCAF8_PONAB	sp-Q5R448-DCAF8_PONAB DDB1- and CUL4-associated factor 8 OS=Pongo abelii GN=DCAF8 PE=2 SV=1
TR119201_c4_g4_i2	sp-P0C7V8-DC8L2_HUMAN	sp-P0C7V8-DC8L2_HUMAN DDB1- and CUL4-associated factor 8-like protein 2 OS=Homo sapiens GN=DCAF8L2 PE=2 SV=2
TR119201_c4_g4_i2	sp-A6NGE4-DC8L1_HUMAN	sp-A6NGE4-DC8L1_HUMAN DDB1- and CUL4-associated factor 8-like protein 1 OS=Homo sapiens GN=DCAF8L1 PE=2 SV=1
TR119201_c4_g4_i2	sp-Q9H892-TTC12_HUMAN	sp-Q9H892-TTC12_HUMAN Tetratricopeptide repeat protein 12 OS=Homo sapiens GN=TTC12 PE=1 SV=2
TR119201_c4_g4_i2	sp-Q8BW49-TTC12_MOUSE	sp-Q8BW49-TTC12_MOUSE Tetratricopeptide repeat protein 12 OS=Mus musculus GN=Ttc12 PE=1 SV=1
TR124469_c6_g1_i2	sp-Q92485-ASM3B_HUMAN	sp-Q92485-ASM3B_HUMAN Acid sphingomyelinase-like phosphodiesterase 3b OS=Homo sapiens GN=SMPDL3B PE=2 SV=2
TR124469_c6_g1_i2	sp-Q92485-ASM3B_HUMAN	sp-Q92485-ASM3B_HUMAN Acid sphingomyelinase-like phosphodiesterase 3b OS=Homo sapiens GN=SMPDL3B PE=2 SV=2
TR124469_c6_g1_i2	sp-P58242-ASM3B_MOUSE	sp-P58242-ASM3B_MOUSE Acid sphingomyelinase-like phosphodiesterase 3b OS=Mus musculus GN=Smpdl3b PE=1 SV=1
TR124469_c6_g1_i2	sp-P58242-ASM3B_MOUSE	sp-P58242-ASM3B_MOUSE Acid sphingomyelinase-like phosphodiesterase 3b OS=Mus musculus GN=Smpdl3b PE=1 SV=1
TR124469_c6_g1_i2	sp-Q54SR8-SGMC_DICDI	sp-Q54SR8-SGMC_DICDI Sphingomyelinase phosphodiesterase C OS=Dictyostelium discoideum GN=sgmC PE=3 SV=1
TR124469_c6_g1_i2	sp-Q54SR8-SGMC_DICDI	sp-Q54SR8-SGMC_DICDI Sphingomyelinase phosphodiesterase C OS=Dictyostelium discoideum GN=sgmC PE=3 SV=1
TR124469_c6_g1_i2	sp-Q92484-ASM3A_HUMAN	sp-Q92484-ASM3A_HUMAN Acid sphingomyelinase-like phosphodiesterase 3a OS=Homo sapiens GN=SMPDL3A PE=1 SV=2
TR124469_c6_g1_i2	sp-Q92484-ASM3A_HUMAN	sp-Q92484-ASM3A_HUMAN Acid sphingomyelinase-like phosphodiesterase 3a OS=Homo sapiens GN=SMPDL3A PE=1 SV=2
TR124469_c6_g1_i2	sp-Q3ZC91-ASM3A_BOVIN	sp-Q3ZC91-ASM3A_BOVIN Acid sphingomyelinase-like phosphodiesterase 3a OS=Bos taurus GN=SMPDL3A PE=2 SV=1
TR124469_c6_g1_i2	sp-Q3ZC91-ASM3A_BOVIN	sp-Q3ZC91-ASM3A_BOVIN Acid sphingomyelinase-like phosphodiesterase 3a OS=Bos taurus GN=SMPDL3A PE=2 SV=1
TR124469_c6_g1_i2	sp-Q641Z7-ASM3A_RAT	sp-Q641Z7-ASM3A_RAT Acid sphingomyelinase-like phosphodiesterase 3a OS=Rattus norvegicus GN=Smpdl3a PE=2 SV=1
TR124469_c6_g1_i2	sp-Q641Z7-ASM3A_RAT	sp-Q641Z7-ASM3A_RAT Acid sphingomyelinase-like phosphodiesterase 3a OS=Rattus norvegicus GN=Smpdl3a PE=2 SV=1
TR124469_c6_g1_i2	sp-P70158-ASM3A_MOUSE	sp-P70158-ASM3A_MOUSE Acid sphingomyelinase-like phosphodiesterase 3a OS=Mus musculus GN=Smpdl3a PE=1 SV=2
TR124469_c6_g1_i2	sp-P70158-ASM3A_MOUSE	sp-P70158-ASM3A_MOUSE Acid sphingomyelinase-like phosphodiesterase 3a OS=Mus musculus GN=Smpdl3a PE=1 SV=2
TR124469_c6_g1_i2	sp-Q04519-ASM_MOUSE	sp-Q04519-ASM_MOUSE Sphingomyelin phosphodiesterase OS=Mus musculus GN=Smpd1 PE=2 SV=2
TR124469_c6_g1_i2	sp-Q04519-ASM_MOUSE	sp-Q04519-ASM_MOUSE Sphingomyelin phosphodiesterase OS=Mus musculus GN=Smpd1 PE=2 SV=2
TR124469_c6_g1_i2	sp-Q0VD19-ASM_BOVIN	sp-Q0VD19-ASM_BOVIN Sphingomyelin phosphodiesterase OS=Bos taurus GN=SMPD1 PE=2 SV=1
TR124469_c6_g1_i2	sp-Q0VD19-ASM_BOVIN	sp-Q0VD19-ASM_BOVIN Sphingomyelin phosphodiesterase OS=Bos taurus GN=SMPD1 PE=2 SV=1
TR124469_c6_g1_i2	sp-P17405-ASM_HUMAN	sp-P17405-ASM_HUMAN Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=1 SV=4
TR124469_c6_g1_i2	sp-P17405-ASM_HUMAN	sp-P17405-ASM_HUMAN Sphingomyelin phosphodiesterase OS=Homo sapiens GN=SMPD1 PE=1 SV=4
TR124667_c2_g1_i1	sp-Q8IZS8-CA2D3_HUMAN	sp-Q8IZS8-CA2D3_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Homo sapiens GN=CACNA2D3 PE=1 SV=1
TR124667_c2_g1_i1	sp-Q8CFG5-CA2D3_RAT	sp-Q8CFG5-CA2D3_RAT Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Rattus norvegicus GN=Cacna2d3 PE=1 SV=1
TR124667_c2_g1_i1	sp-Q9Z1L5-CA2D3_MOUSE	sp-Q9Z1L5-CA2D3_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-3 OS=Mus musculus GN=Cacna2d3 PE=1 SV=1
TR124667_c2_g1_i1	sp-Q6PHS9-CA2D2_MOUSE	sp-Q6PHS9-CA2D2_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Mus musculus GN=Cacna2d2 PE=1 SV=1
TR124667_c2_g1_i1	sp-Q6PHS9-CA2D2_MOUSE	sp-Q6PHS9-CA2D2_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Mus musculus GN=Cacna2d2 PE=1 SV=1
TR124667_c2_g1_i1	sp-Q9NY47-CA2D2_HUMAN	sp-Q9NY47-CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens GN=CACNA2D2 PE=1 SV=2
TR124667_c2_g1_i1	sp-Q9NY47-CA2D2_HUMAN	sp-Q9NY47-CA2D2_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Homo sapiens GN=CACNA2D2 PE=1 SV=2
TR124667_c2_g1_i1	sp-Q8CFG6-CA2D2_RAT	sp-Q8CFG6-CA2D2_RAT Voltage-dependent calcium channel subunit alpha-2/delta-2 OS=Rattus norvegicus GN=Cacna2d2 PE=2 SV=1
TR124667_c2_g1_i1	sp-Q5RJF7-CA2D4_MOUSE	sp-Q5RJF7-CA2D4_MOUSE Voltage-dependent calcium channel subunit alpha-2/delta-4 OS=Mus musculus GN=Cacna2d4 PE=2 SV=1
TR124667_c2_g1_i1	sp-Q7Z3S7-CA2D4_HUMAN	sp-Q7Z3S7-CA2D4_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-4 OS=Homo sapiens GN=CACNA2D4 PE=1 SV=2
TR124667_c2_g1_i1	sp-P54289-CA2D1_HUMAN	sp-P54289-CA2D1_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3
TR124667_c2_g1_i1	sp-P54289-CA2D1_HUMAN	sp-P54289-CA2D1_HUMAN Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Homo sapiens GN=CACNA2D1 PE=1 SV=3
TR124667_c2_g1_i1	sp-P13806-CA2D1_RABIT	sp-P13806-CA2D1_RABIT Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Oryctolagus cuniculus GN=CACNA2D1 PE=1 SV=1
TR124667_c2_g1_i1	sp-P13806-CA2D1_RABIT	sp-P13806-CA2D1_RABIT Voltage-dependent calcium channel subunit alpha-2/delta-1 OS=Oryctolagus cuniculus GN=CACNA2D1 PE=1 SV=1
TR127418_c2_g1_i7	sp-F8WLE0-KIF28_RAT	sp-F8WLE0-KIF28_RAT Kinesin-like protein KIF28P OS=Rattus norvegicus GN=Kif28p PE=2 SV=1
TR127418_c2_g1_i7	sp-D3YXS5-KIF28_MOUSE	sp-D3YXS5-KIF28_MOUSE Kinesin-like protein KIF28P OS=Mus musculus GN=Kif28p PE=3 SV=1
TR127418_c2_g1_i7	sp-Q9NGQ2-KIF1_DICDI	sp-Q9NGQ2-KIF1_DICDI Kinesin-related protein 1 OS=Dictyostelium discoideum GN=kif1 PE=1 SV=1
TR127418_c2_g1_i7	sp-P33173-KIF1A_MOUSE	sp-P33173-KIF1A_MOUSE Kinesin-like protein KIF1A OS=Mus musculus GN=Kif1a PE=1 SV=2
TR127418_c2_g1_i7	sp-P33173-KIF1A_MOUSE	sp-P33173-KIF1A_MOUSE Kinesin-like protein KIF1A OS=Mus musculus GN=Kif1a PE=1 SV=2
TR127418_c2_g1_i7	sp-Q12756-KIF1A_HUMAN	sp-Q12756-KIF1A_HUMAN Kinesin-like protein KIF1A OS=Homo sapiens GN=KIF1A PE=1 SV=2
TR127418_c2_g1_i7	sp-Q12756-KIF1A_HUMAN	sp-Q12756-KIF1A_HUMAN Kinesin-like protein KIF1A OS=Homo sapiens GN=KIF1A PE=1 SV=2
TR127418_c2_g1_i7	sp-A1ZAJ2-KIF1A_DROME	sp-A1ZAJ2-KIF1A_DROME Kinesin-like protein unc-104 OS=Drosophila melanogaster GN=unc-104 PE=1 SV=1
TR127418_c2_g1_i7	sp-Q7PHR1-KIF1A_ANOGA	sp-Q7PHR1-KIF1A_ANOGA Kinesin-like protein unc-104 OS=Anopheles gambiae GN=unc-104 PE=3 SV=3
TR127418_c2_g1_i7	sp-Q28WQ1-KIF1A_DROPS	sp-Q28WQ1-KIF1A_DROPS Kinesin-like protein unc-104 OS=Drosophila pseudoobscura pseudoobscura GN=unc-104 PE=3 SV=1
TR127418_c2_g1_i7	sp-Q17BU3-KIF1A_AEDAE	sp-Q17BU3-KIF1A_AEDAE Kinesin-like protein unc-104 OS=Aedes aegypti GN=unc-104 PE=3 SV=1
TR127418_c2_g1_i7	sp-P23678-UN104_CAEEL	sp-P23678-UN104_CAEEL Kinesin-like protein unc-104 OS=Caenorhabditis elegans GN=unc-104 PE=2 SV=4
TR127418_c2_g1_i7	sp-P23678-UN104_CAEEL	sp-P23678-UN104_CAEEL Kinesin-like protein unc-104 OS=Caenorhabditis elegans GN=unc-104 PE=2 SV=4
TR129077_c3_g1_i11	sp-P70618-MK14_RAT	sp-P70618-MK14_RAT Mitogen-activated protein kinase 14 OS=Rattus norvegicus GN=Mapk14 PE=1 SV=3
TR129077_c3_g1_i11	sp-P47811-MK14_MOUSE	sp-P47811-MK14_MOUSE Mitogen-activated protein kinase 14 OS=Mus musculus GN=Mapk14 PE=1 SV=3
TR129077_c3_g1_i11	sp-P47812-MK14_XENLA	sp-P47812-MK14_XENLA Mitogen-activated protein kinase 14 OS=Xenopus laevis GN=mapk14 PE=2 SV=1
TR129077_c3_g1_i11	sp-Q16539-MK14_HUMAN	sp-Q16539-MK14_HUMAN Mitogen-activated protein kinase 14 OS=Homo sapiens GN=MAPK14 PE=1 SV=3
TR129077_c3_g1_i11	sp-O02812-MK14_CANLF	sp-O02812-MK14_CANLF Mitogen-activated protein kinase 14 OS=Canis lupus familiaris GN=MAPK14 PE=2 SV=3
TR129077_c3_g1_i11	sp-Q9DGE2-MK14A_DANRE	sp-Q9DGE2-MK14A_DANRE Mitogen-activated protein kinase 14A OS=Danio rerio GN=mapk14a PE=1 SV=1
TR129077_c3_g1_i11	sp-Q90336-MK14A_CYPCA	sp-Q90336-MK14A_CYPCA Mitogen-activated protein kinase 14A OS=Cyprinus carpio GN=mapk14a PE=1 SV=1
TR129077_c3_g1_i11	sp-Q95NE7-MK14_PANTR	sp-Q95NE7-MK14_PANTR Mitogen-activated protein kinase 14 OS=Pan troglodytes GN=MAPK14 PE=2 SV=3
TR129077_c3_g1_i11	sp-Q9I958-MK14B_CYPCA	sp-Q9I958-MK14B_CYPCA Mitogen-activated protein kinase 14B OS=Cyprinus carpio GN=mapk14b PE=1 SV=1
TR129077_c3_g1_i11	sp-Q9WUI1-MK11_MOUSE	sp-Q9WUI1-MK11_MOUSE Mitogen-activated protein kinase 11 OS=Mus musculus GN=Mapk11 PE=1 SV=2
TR131857_c5_g2_i9	sp-Q8VC12-HUTU_MOUSE	sp-Q8VC12-HUTU_MOUSE Urocanate hydratase OS=Mus musculus GN=Uroc1 PE=1 SV=2
TR131857_c5_g2_i9	sp-Q96N76-HUTU_HUMAN	sp-Q96N76-HUTU_HUMAN Urocanate hydratase OS=Homo sapiens GN=UROC1 PE=1 SV=1
TR131857_c5_g2_i9	sp-Q86AX3-HUTU_DICDI	sp-Q86AX3-HUTU_DICDI Probable urocanate hydratase OS=Dictyostelium discoideum GN=uroc1 PE=3 SV=2
TR131857_c5_g2_i9	sp-A7YWP4-HUTH_BOVIN	sp-A7YWP4-HUTH_BOVIN Histidine ammonia-lyase OS=Bos taurus GN=HAL PE=2 SV=1
TR131857_c5_g2_i9	sp-P35492-HUTH_MOUSE	sp-P35492-HUTH_MOUSE Histidine ammonia-lyase OS=Mus musculus GN=Hal PE=1 SV=1
TR131857_c5_g2_i9	sp-Q9NAE2-HUTU_CAEEL	sp-Q9NAE2-HUTU_CAEEL Probable urocanate hydratase OS=Caenorhabditis elegans GN=Y51H4A.7 PE=3 SV=2
TR131857_c5_g2_i9	sp-P42357-HUTH_HUMAN	sp-P42357-HUTH_HUMAN Histidine ammonia-lyase OS=Homo sapiens GN=HAL PE=1 SV=1
TR131857_c5_g2_i9	sp-P21213-HUTH_RAT	sp-P21213-HUTH_RAT Histidine ammonia-lyase OS=Rattus norvegicus GN=Hal PE=1 SV=1
TR131857_c5_g2_i9	sp-Q20502-HUTH1_CAEEL	sp-Q20502-HUTH1_CAEEL Histidine ammonia-lyase OS=Caenorhabditis elegans GN=haly-1 PE=1 SV=1
TR131857_c5_g2_i9	sp-Q54JI7-HUTH_DICDI	sp-Q54JI7-HUTH_DICDI Probable histidine ammonia-lyase OS=Dictyostelium discoideum GN=hal PE=2 SV=1
TR132920_c2_g1_i9	sp-Q6PHS6-SNX13_MOUSE	sp-Q6PHS6-SNX13_MOUSE Sorting nexin-13 OS=Mus musculus GN=Snx13 PE=2 SV=1
TR132920_c2_g1_i9	sp-Q6PHS6-SNX13_MOUSE	sp-Q6PHS6-SNX13_MOUSE Sorting nexin-13 OS=Mus musculus GN=Snx13 PE=2 SV=1
TR132920_c2_g1_i9	sp-Q9Y5W8-SNX13_HUMAN	sp-Q9Y5W8-SNX13_HUMAN Sorting nexin-13 OS=Homo sapiens GN=SNX13 PE=1 SV=4
TR132920_c2_g1_i9	sp-Q9Y5W8-SNX13_HUMAN	sp-Q9Y5W8-SNX13_HUMAN Sorting nexin-13 OS=Homo sapiens GN=SNX13 PE=1 SV=4
TR132920_c2_g1_i9	sp-Q9H3E2-SNX25_HUMAN	sp-Q9H3E2-SNX25_HUMAN Sorting nexin-25 OS=Homo sapiens GN=SNX25 PE=1 SV=2
TR132920_c2_g1_i9	sp-Q9H3E2-SNX25_HUMAN	sp-Q9H3E2-SNX25_HUMAN Sorting nexin-25 OS=Homo sapiens GN=SNX25 PE=1 SV=2
TR132920_c2_g1_i9	sp-Q3ZT31-SNX25_MOUSE	sp-Q3ZT31-SNX25_MOUSE Sorting nexin-25 OS=Mus musculus GN=Snx25 PE=1 SV=3
TR132920_c2_g1_i9	sp-Q3ZT31-SNX25_MOUSE	sp-Q3ZT31-SNX25_MOUSE Sorting nexin-25 OS=Mus musculus GN=Snx25 PE=1 SV=3
TR132920_c2_g1_i9	sp-Q8BHY8-SNX14_MOUSE	sp-Q8BHY8-SNX14_MOUSE Sorting nexin-14 OS=Mus musculus GN=Snx14 PE=1 SV=2
TR132920_c2_g1_i9	sp-Q8BHY8-SNX14_MOUSE	sp-Q8BHY8-SNX14_MOUSE Sorting nexin-14 OS=Mus musculus GN=Snx14 PE=1 SV=2
TR132920_c2_g1_i9	sp-Q5PNP1-SNX14_DANRE	sp-Q5PNP1-SNX14_DANRE Sorting nexin-14 OS=Danio rerio GN=snx14 PE=2 SV=3
TR132920_c2_g1_i9	sp-Q5PNP1-SNX14_DANRE	sp-Q5PNP1-SNX14_DANRE Sorting nexin-14 OS=Danio rerio GN=snx14 PE=2 SV=3
TR132920_c2_g1_i9	sp-Q9Y5W7-SNX14_HUMAN	sp-Q9Y5W7-SNX14_HUMAN Sorting nexin-14 OS=Homo sapiens GN=SNX14 PE=1 SV=3
TR132920_c2_g1_i9	sp-Q9Y5W7-SNX14_HUMAN	sp-Q9Y5W7-SNX14_HUMAN Sorting nexin-14 OS=Homo sapiens GN=SNX14 PE=1 SV=3
TR132920_c2_g1_i9	sp-Q5R903-SNX14_PONAB	sp-Q5R903-SNX14_PONAB Sorting nexin-14 OS=Pongo abelii GN=SNX14 PE=1 SV=1
TR132920_c2_g1_i9	sp-Q5R903-SNX14_PONAB	sp-Q5R903-SNX14_PONAB Sorting nexin-14 OS=Pongo abelii GN=SNX14 PE=1 SV=1
TR132920_c2_g1_i9	sp-Q9USN1-SNX12_SCHPO	sp-Q9USN1-SNX12_SCHPO Sorting nexin-12 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=snx12 PE=3 SV=1
TR132920_c2_g1_i9	sp-Q9USN1-SNX12_SCHPO	sp-Q9USN1-SNX12_SCHPO Sorting nexin-12 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) GN=snx12 PE=3 SV=1
TR132920_c2_g1_i9	sp-Q8R4V0-SGK3_RAT	sp-Q8R4V0-SGK3_RAT Serine/threonine-protein kinase Sgk3 OS=Rattus norvegicus GN=Sgk3 PE=1 SV=2
TR133190_c1_g2_i1	sp-P97544-PLPP3_RAT	sp-P97544-PLPP3_RAT Phospholipid phosphatase 3 OS=Rattus norvegicus GN=Plpp3 PE=1 SV=1
TR133190_c1_g2_i1	sp-O14495-PLPP3_HUMAN	sp-O14495-PLPP3_HUMAN Phospholipid phosphatase 3 OS=Homo sapiens GN=PLPP3 PE=1 SV=1
TR133190_c1_g2_i1	sp-Q99JY8-PLPP3_MOUSE	sp-Q99JY8-PLPP3_MOUSE Phospholipid phosphatase 3 OS=Mus musculus GN=Plpp3 PE=1 SV=1
TR133190_c1_g2_i1	sp-Q3SZE3-PLPP3_BOVIN	sp-Q3SZE3-PLPP3_BOVIN Phospholipid phosphatase 3 OS=Bos taurus GN=PLPP3 PE=2 SV=1
TR133190_c1_g2_i1	sp-Q61469-PLPP1_MOUSE	sp-Q61469-PLPP1_MOUSE Phospholipid phosphatase 1 OS=Mus musculus GN=Plpp1 PE=1 SV=1
TR133190_c1_g2_i1	sp-Q61469-PLPP1_MOUSE	sp-Q61469-PLPP1_MOUSE Phospholipid phosphatase 1 OS=Mus musculus GN=Plpp1 PE=1 SV=1
TR133190_c1_g2_i1	sp-O08564-PLPP1_RAT	sp-O08564-PLPP1_RAT Phospholipid phosphatase 1 OS=Rattus norvegicus GN=Plpp1 PE=1 SV=1
TR133190_c1_g2_i1	sp-O08564-PLPP1_RAT	sp-O08564-PLPP1_RAT Phospholipid phosphatase 1 OS=Rattus norvegicus GN=Plpp1 PE=1 SV=1
TR133190_c1_g2_i1	sp-O88956-PLPP1_CAVPO	sp-O88956-PLPP1_CAVPO Phospholipid phosphatase 1 OS=Cavia porcellus GN=PLPP1 PE=2 SV=1
TR133190_c1_g2_i1	sp-O88956-PLPP1_CAVPO	sp-O88956-PLPP1_CAVPO Phospholipid phosphatase 1 OS=Cavia porcellus GN=PLPP1 PE=2 SV=1
TR133190_c1_g2_i1	sp-O14494-PLPP1_HUMAN	sp-O14494-PLPP1_HUMAN Phospholipid phosphatase 1 OS=Homo sapiens GN=PLPP1 PE=1 SV=1
TR133190_c1_g2_i1	sp-O14494-PLPP1_HUMAN	sp-O14494-PLPP1_HUMAN Phospholipid phosphatase 1 OS=Homo sapiens GN=PLPP1 PE=1 SV=1
TR133190_c1_g2_i1	sp-Q8K593-PLPP2_RAT	sp-Q8K593-PLPP2_RAT Phospholipid phosphatase 2 OS=Rattus norvegicus GN=Plpp2 PE=2 SV=1
TR133190_c1_g2_i1	sp-Q9DAX2-PLPP2_MOUSE	sp-Q9DAX2-PLPP2_MOUSE Phospholipid phosphatase 2 OS=Mus musculus GN=Plpp2 PE=1 SV=1
TR134062_c0_g1_i4	sp-Q92734-TFG_HUMAN	sp-Q92734-TFG_HUMAN Protein TFG OS=Homo sapiens GN=TFG PE=1 SV=2
TR135108_c0_g1_i3	sp-Q8H1Z0-CER3_ARATH	sp-Q8H1Z0-CER3_ARATH Protein ECERIFERUM 3 OS=Arabidopsis thaliana GN=CER3 PE=1 SV=1
TR135108_c0_g1_i3	sp-F4HVY0-CER1_ARATH	sp-F4HVY0-CER1_ARATH Protein ECERIFERUM 1 OS=Arabidopsis thaliana GN=CER1 PE=1 SV=1
TR135108_c0_g1_i3	sp-A0QP18-MMPLB_MYCS2	sp-A0QP18-MMPLB_MYCS2 Mycolic acid-containing lipids exporter MmpL11 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=mmpL11 PE=3 SV=1
TR135108_c0_g1_i3	sp-A0QP18-MMPLB_MYCS2	sp-A0QP18-MMPLB_MYCS2 Mycolic acid-containing lipids exporter MmpL11 OS=Mycobacterium smegmatis (strain ATCC 700084 / mc(2)155) GN=mmpL11 PE=3 SV=1
TR135108_c0_g1_i3	sp-F4HVX7-CERL1_ARATH	sp-F4HVX7-CERL1_ARATH Protein CER1-like 1 OS=Arabidopsis thaliana GN=At1g02190 PE=2 SV=1
TR135108_c0_g1_i3	sp-F4IR05-CERL2_ARATH	sp-F4IR05-CERL2_ARATH Protein CER1-like 2 OS=Arabidopsis thaliana GN=At2g37700 PE=2 SV=1
TR135108_c0_g1_i3	sp-P9WJT9-MMPLB_MYCTU	sp-P9WJT9-MMPLB_MYCTU Heme uptake protein MmpL11 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=mmpL11 PE=1 SV=1
TR135108_c0_g1_i3	sp-P9WJT9-MMPLB_MYCTU	sp-P9WJT9-MMPLB_MYCTU Heme uptake protein MmpL11 OS=Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv) GN=mmpL11 PE=1 SV=1
TR135108_c0_g1_i3	sp-P9WJT8-MMPLB_MYCTO	sp-P9WJT8-MMPLB_MYCTO Heme uptake protein MmpL11 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=mmpL11 PE=3 SV=1
TR135108_c0_g1_i3	sp-P9WJT8-MMPLB_MYCTO	sp-P9WJT8-MMPLB_MYCTO Heme uptake protein MmpL11 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) GN=mmpL11 PE=3 SV=1
